Bandit,Reward,Algorithm
0,1.7778410683635295,Epsilon Greedy
1,1.8349014972411744,Epsilon Greedy
2,1.1646160550245814,Epsilon Greedy
3,1.6563663940642477,Epsilon Greedy
0,1.2274152481630667,Epsilon Greedy
1,1.4910996075168061,Epsilon Greedy
2,1.7644892533218899,Epsilon Greedy
3,1.739452557687728,Epsilon Greedy
0,1.7644718631984264,Epsilon Greedy
1,1.6905509875602374,Epsilon Greedy
2,1.8290273747035202,Epsilon Greedy
3,1.0220334264822073,Epsilon Greedy
0,1.8136088964972428,Epsilon Greedy
1,1.2383005387228447,Epsilon Greedy
2,1.8265607572891995,Epsilon Greedy
3,1.7836863598617139,Epsilon Greedy
0,1.880071258646577,Epsilon Greedy
1,1.3685980553496082,Epsilon Greedy
2,1.842489116549653,Epsilon Greedy
3,1.260835755109115,Epsilon Greedy
0,1.378289990853034,Epsilon Greedy
1,1.1363356295022635,Epsilon Greedy
2,1.1590069412042623,Epsilon Greedy
3,1.0861603475689825,Epsilon Greedy
0,1.4076171106099704,Epsilon Greedy
1,1.5335963280187397,Epsilon Greedy
2,1.5736337602121182,Epsilon Greedy
3,1.5889969390935281,Epsilon Greedy
0,1.57382149075397,Epsilon Greedy
1,1.406291822130949,Epsilon Greedy
2,1.6650315251533225,Epsilon Greedy
3,1.1606112298527544,Epsilon Greedy
0,4.240767033404552,Epsilon Greedy
1,4.2786456866354285,Epsilon Greedy
2,4.675287328407463,Epsilon Greedy
3,4.524189981156368,Epsilon Greedy
0,4.514313360590785,Epsilon Greedy
1,4.130281390635178,Epsilon Greedy
2,4.216482397949094,Epsilon Greedy
3,4.2662257106291275,Epsilon Greedy
0,4.876726723439408,Epsilon Greedy
1,4.923629620863234,Epsilon Greedy
2,4.849047439069084,Epsilon Greedy
3,4.015351524494832,Epsilon Greedy
0,4.881990988045292,Epsilon Greedy
1,4.1649480756247375,Epsilon Greedy
2,4.244146079462492,Epsilon Greedy
3,4.157909898758888,Epsilon Greedy
0,4.408002041113712,Epsilon Greedy
1,4.185583470737216,Epsilon Greedy
2,4.784081980859321,Epsilon Greedy
3,4.850938221824719,Epsilon Greedy
0,4.134554179078236,Epsilon Greedy
1,4.516446186792288,Epsilon Greedy
2,4.281089728589182,Epsilon Greedy
3,4.866229381021752,Epsilon Greedy
0,4.418549347990287,Epsilon Greedy
1,4.284476780929861,Epsilon Greedy
2,4.276733608730197,Epsilon Greedy
3,4.5856958792609,Epsilon Greedy
0,4.669975150907028,Epsilon Greedy
1,4.02099277759647,Epsilon Greedy
2,4.374773707308942,Epsilon Greedy
3,4.985541304709413,Epsilon Greedy
0,4.1519216248334905,Epsilon Greedy
1,4.394868178605864,Epsilon Greedy
2,4.895459778143373,Epsilon Greedy
3,4.397308899582989,Epsilon Greedy
0,4.588816830134748,Epsilon Greedy
1,4.939082303739128,Epsilon Greedy
2,4.268941737253506,Epsilon Greedy
3,4.3484536472651705,Epsilon Greedy
0,4.843900649979341,Epsilon Greedy
1,4.810951246811952,Epsilon Greedy
2,4.459038988188547,Epsilon Greedy
3,4.233469203180164,Epsilon Greedy
0,4.522523116278984,Epsilon Greedy
1,4.727954682010985,Epsilon Greedy
2,4.3709895308955575,Epsilon Greedy
3,4.326153435845615,Epsilon Greedy
0,4.865738385702512,Epsilon Greedy
1,4.84033051725632,Epsilon Greedy
2,4.029866557487681,Epsilon Greedy
3,4.364302905401767,Epsilon Greedy
0,4.133916576857439,Epsilon Greedy
1,4.562649555178777,Epsilon Greedy
2,4.299360211173057,Epsilon Greedy
3,4.539629932318455,Epsilon Greedy
0,4.997227717825338,Epsilon Greedy
1,4.226816705448806,Epsilon Greedy
2,4.272347390201832,Epsilon Greedy
3,4.300578698280285,Epsilon Greedy
0,4.651631236628198,Epsilon Greedy
1,4.563590421296486,Epsilon Greedy
2,4.613178119866353,Epsilon Greedy
3,4.572611202045416,Epsilon Greedy
0,4.798714909345625,Epsilon Greedy
1,4.521046956688468,Epsilon Greedy
2,4.278760864353438,Epsilon Greedy
3,4.267563279050036,Epsilon Greedy
0,4.687067131272632,Epsilon Greedy
1,4.127978169365223,Epsilon Greedy
2,4.539726179276395,Epsilon Greedy
3,4.393973172448535,Epsilon Greedy
0,4.467910057408212,Epsilon Greedy
1,4.453472241164904,Epsilon Greedy
2,4.995872491848248,Epsilon Greedy
3,4.296229698903556,Epsilon Greedy
0,4.020170572120954,Epsilon Greedy
1,4.2532068084726875,Epsilon Greedy
2,4.457865937242639,Epsilon Greedy
3,4.279297573129784,Epsilon Greedy
0,4.430895500151094,Epsilon Greedy
1,4.494800332985598,Epsilon Greedy
2,4.529179787362308,Epsilon Greedy
3,4.921413460359166,Epsilon Greedy
0,4.400435610555949,Epsilon Greedy
1,4.39654280728241,Epsilon Greedy
2,4.379425569382633,Epsilon Greedy
3,4.400452765468795,Epsilon Greedy
0,4.692488763267221,Epsilon Greedy
1,4.223133424646661,Epsilon Greedy
2,4.248164045319384,Epsilon Greedy
3,4.986596864023104,Epsilon Greedy
0,4.82062743785009,Epsilon Greedy
1,4.514134627790331,Epsilon Greedy
2,4.994123597435796,Epsilon Greedy
3,4.093030587529662,Epsilon Greedy
0,4.604766419313482,Epsilon Greedy
1,4.411131358546122,Epsilon Greedy
2,4.778593867413575,Epsilon Greedy
3,4.979578879218059,Epsilon Greedy
0,4.892063167819828,Epsilon Greedy
1,4.076248803090166,Epsilon Greedy
2,4.740182958606656,Epsilon Greedy
3,4.27788235778328,Epsilon Greedy
0,4.323095157014391,Epsilon Greedy
1,4.772582417061287,Epsilon Greedy
2,4.486158844324429,Epsilon Greedy
3,4.536759126182142,Epsilon Greedy
0,4.61921202441615,Epsilon Greedy
1,4.678040740944387,Epsilon Greedy
